comment,,,
comment,,,Copyright (C) Pete Brownlow 2011-2022   software@upsys.co.uk
comment,,,Originally derived from opcodes.h (c) Andrew Crosland.
comment,,,CSV version by Ian Hogg inspired by David W Radcliffe
comment,,,
comment,,,Ver 8y 
comment,,,
comment,,,  This work is licensed under the:
comment,,,      Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.
comment,,,  To view a copy of this license, visit:
comment,,,      http://creativecommons.org/licenses/by-nc-sa/4.0/
comment,,,  or send a letter to Creative Commons, PO Box 1866, Mountain View, CA 94042, USA.
comment,,,
comment,,,  License summary:
comment,,,    You are free to:
comment,,,      Share, copy and redistribute the material in any medium or format
comment,,,      Adapt, remix, transform, and build upon the material
comment,,,
comment,,,    The licensor cannot revoke these freedoms as long as you follow the license terms.
comment,,,
comment,,,    Attribution : You must give appropriate credit, provide a link to the license,
comment,,,                   and indicate if changes were made. You may do so in any reasonable manner,
comment,,,                   but not in any way that suggests the licensor endorses you or your use.
comment,,,
comment,,,    NonCommercial : You may not use the material for commercial purposes. **(see note below)
comment,,,
comment,,,    ShareAlike : If you remix, transform, or build upon the material, you must distribute
comment,,,                  your contributions under the same license as the original.
comment,,,
comment,,,    No additional restrictions : You may not apply legal terms or technological measures that
comment,,,                                  legally restrict others from doing anything the license permits.
comment,,,
comment,,,   ** For commercial use, please contact the original copyright holder(s) to agree licensing terms
comment,,,
comment,,,    This software is distributed in the hope that it will be useful, but WITHOUT ANY
comment,,,    WARRANTY; without even the implied warranty of MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE
comment,,,
comment,,,Version history:
comment,,,Pete Brownlow,6/4/11,Original from spec version 7e
comment,,,Roger Healey,6/4/11,Add OPC_CMDERR response codes
comment,,,Pete Brownlow,7/6/11,Updated to spec ver 7f and add new module ids
comment,,,Pete Brownlow,4/7/11,Updated to spec ver 7g
comment,,,Pete Brownlow,14/8/11,Updated to spec ver 7h
